,plotid,sampleid,lon,lat,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,Land Cover Elements,AOI Number
7400,2800,279901,-73.97859512064952,40.68474933039968,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97859512064952 40.68474933039968),Building,28
7401,2800,279902,-73.97859512064952,40.68481745032108,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97859512064952 40.68481745032108),Building,28
7402,2800,279903,-73.97859512064952,40.68488557017281,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97859512064952 40.68488557017281),Building,28
7403,2800,279904,-73.97859512064952,40.68495368995494,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97859512064952 40.68495368995494),Trees_CanopyCover,28
7404,2800,279905,-73.97859512064952,40.68502180966746,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97859512064952 40.68502180966746),Building,28
7405,2800,279906,-73.97859512064952,40.68508992931032,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97859512064952 40.68508992931032),Building,28
7406,2800,279907,-73.97859512064952,40.68515804888361,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97859512064952 40.68515804888361),Building,28
7407,2800,279908,-73.97859512064952,40.68522616838723,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97859512064952 40.68522616838723),Building,28
7408,2800,279909,-73.97859512064952,40.68529428782125,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97859512064952 40.68529428782125),Impervious Surface (no building),28
7409,2800,279910,-73.97859512064952,40.68536240718564,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97859512064952 40.685362407185636),Impervious Surface (no building),28
7410,2800,279911,-73.97850528912109,40.68474933039968,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97850528912109 40.68474933039968),Building,28
7411,2800,279912,-73.97850528912109,40.68481745032108,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97850528912109 40.68481745032108),Building,28
7412,2800,279913,-73.97850528912109,40.68488557017281,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97850528912109 40.68488557017281),Building,28
7413,2800,279914,-73.97850528912109,40.68495368995494,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97850528912109 40.68495368995494),Building,28
7414,2800,279915,-73.97850528912109,40.68502180966746,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97850528912109 40.68502180966746),Building,28
7415,2800,279916,-73.97850528912109,40.68508992931032,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97850528912109 40.68508992931032),Building,28
7416,2800,279917,-73.97850528912109,40.68515804888361,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97850528912109 40.68515804888361),Building,28
7417,2800,279918,-73.97850528912109,40.68522616838723,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97850528912109 40.68522616838723),Impervious Surface (no building),28
7418,2800,279919,-73.97850528912109,40.68529428782125,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97850528912109 40.68529428782125),Impervious Surface (no building),28
7419,2800,279920,-73.97850528912109,40.68536240718564,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97850528912109 40.685362407185636),Impervious Surface (no building),28
7420,2800,279921,-73.97841545759266,40.68474933039968,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97841545759266 40.68474933039968),Building,28
7421,2800,279922,-73.97841545759266,40.68481745032108,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97841545759266 40.68481745032108),Building,28
7422,2800,279923,-73.97841545759266,40.68488557017281,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97841545759266 40.68488557017281),Building,28
7423,2800,279924,-73.97841545759266,40.68495368995494,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97841545759266 40.68495368995494),Building,28
7424,2800,279925,-73.97841545759266,40.68502180966746,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97841545759266 40.68502180966746),Building,28
7425,2800,279926,-73.97841545759266,40.68508992931032,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97841545759266 40.68508992931032),Building,28
7426,2800,279927,-73.97841545759266,40.68515804888361,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97841545759266 40.68515804888361),Impervious Surface (no building),28
7427,2800,279928,-73.97841545759266,40.68522616838723,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97841545759266 40.68522616838723),Impervious Surface (no building),28
7428,2800,279929,-73.97841545759266,40.68529428782125,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97841545759266 40.68529428782125),Impervious Surface (no building),28
7429,2800,279930,-73.97841545759266,40.68536240718564,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97841545759266 40.685362407185636),Impervious Surface (no building),28
7430,2800,279931,-73.97832562606423,40.68474933039968,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97832562606423 40.68474933039968),Building,28
7431,2800,279932,-73.97832562606423,40.68481745032108,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97832562606423 40.68481745032108),Building,28
7432,2800,279933,-73.97832562606423,40.68488557017281,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97832562606423 40.68488557017281),Building,28
7433,2800,279934,-73.97832562606423,40.68495368995494,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97832562606423 40.68495368995494),Building,28
7434,2800,279935,-73.97832562606423,40.68502180966746,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97832562606423 40.68502180966746),Impervious Surface (no building),28
7435,2800,279936,-73.97832562606423,40.68508992931032,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97832562606423 40.68508992931032),Impervious Surface (no building),28
7436,2800,279937,-73.97832562606423,40.68515804888361,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97832562606423 40.68515804888361),Impervious Surface (no building),28
7437,2800,279938,-73.97832562606423,40.68522616838723,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97832562606423 40.68522616838723),Impervious Surface (no building),28
7438,2800,279939,-73.97832562606423,40.68529428782125,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97832562606423 40.68529428782125),Impervious Surface (no building),28
7439,2800,279940,-73.97832562606423,40.68536240718564,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97832562606423 40.685362407185636),Impervious Surface (no building),28
7440,2800,279941,-73.97823579453582,40.68474933039968,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97823579453582 40.68474933039968),Impervious Surface (no building),28
7441,2800,279942,-73.97823579453582,40.68481745032108,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97823579453582 40.68481745032108),Impervious Surface (no building),28
7442,2800,279943,-73.97823579453582,40.68488557017281,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97823579453582 40.68488557017281),Impervious Surface (no building),28
7443,2800,279944,-73.97823579453582,40.68495368995494,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97823579453582 40.68495368995494),Impervious Surface (no building),28
7444,2800,279945,-73.97823579453582,40.68502180966746,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97823579453582 40.68502180966746),Impervious Surface (no building),28
7445,2800,279946,-73.97823579453582,40.68508992931032,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97823579453582 40.68508992931032),Impervious Surface (no building),28
7446,2800,279947,-73.97823579453582,40.68515804888361,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97823579453582 40.68515804888361),Impervious Surface (no building),28
7447,2800,279948,-73.97823579453582,40.68522616838723,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97823579453582 40.68522616838723),Impervious Surface (no building),28
7448,2800,279949,-73.97823579453582,40.68529428782125,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97823579453582 40.68529428782125),Impervious Surface (no building),28
7449,2800,279950,-73.97823579453582,40.68536240718564,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97823579453582 40.685362407185636),Trees_CanopyCover,28
7450,2800,279951,-73.97814596300739,40.68474933039968,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97814596300739 40.68474933039968),Impervious Surface (no building),28
7451,2800,279952,-73.97814596300739,40.68481745032108,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97814596300739 40.68481745032108),Impervious Surface (no building),28
7452,2800,279953,-73.97814596300739,40.68488557017281,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97814596300739 40.68488557017281),Impervious Surface (no building),28
7453,2800,279954,-73.97814596300739,40.68495368995494,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97814596300739 40.68495368995494),Impervious Surface (no building),28
7454,2800,279955,-73.97814596300739,40.68502180966746,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97814596300739 40.68502180966746),Impervious Surface (no building),28
7455,2800,279956,-73.97814596300739,40.68508992931032,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97814596300739 40.68508992931032),Impervious Surface (no building),28
7456,2800,279957,-73.97814596300739,40.68515804888361,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97814596300739 40.68515804888361),Impervious Surface (no building),28
7457,2800,279958,-73.97814596300739,40.68522616838723,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97814596300739 40.68522616838723),Impervious Surface (no building),28
7458,2800,279959,-73.97814596300739,40.68529428782125,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97814596300739 40.68529428782125),Impervious Surface (no building),28
7459,2800,279960,-73.97814596300739,40.68536240718564,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97814596300739 40.685362407185636),Impervious Surface (no building),28
7460,2800,279961,-73.97805613147897,40.68474933039968,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97805613147897 40.68474933039968),Impervious Surface (no building),28
7461,2800,279962,-73.97805613147897,40.68481745032108,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97805613147897 40.68481745032108),Impervious Surface (no building),28
7462,2800,279963,-73.97805613147897,40.68488557017281,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97805613147897 40.68488557017281),Impervious Surface (no building),28
7463,2800,279964,-73.97805613147897,40.68495368995494,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97805613147897 40.68495368995494),Impervious Surface (no building),28
7464,2800,279965,-73.97805613147897,40.68502180966746,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97805613147897 40.68502180966746),Impervious Surface (no building),28
7465,2800,279966,-73.97805613147897,40.68508992931032,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97805613147897 40.68508992931032),Impervious Surface (no building),28
7466,2800,279967,-73.97805613147897,40.68515804888361,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97805613147897 40.68515804888361),Impervious Surface (no building),28
7467,2800,279968,-73.97805613147897,40.68522616838723,False,2022-06-15 20:16,223.9 secs,Mapbox Satellite,,POINT(-73.97805613147897 40.68522616838723),Impervious Surface (no building),28
